"order_id","customer","customer_id","employee","employee_id","product_name","product_id","quantity","unit_price","order_date","required_date","shipped_date","ship_via","freight","ship_name","ship_address","ship_city","ship_region","ship_postal_code","ship_country","product_id-2","quantity-2","unit_price-2","discount"
"10325","Königlich Essen","KOENE","Nancy Davolio","1","Grandma's Boysenberry Spread","6","6","20","0","1996-10-23","1996-10-14","3","64.86","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Germany","6","6","20","0"
"10341","Simons bistro","SIMOB","Robert King","7","Geitost","33","8","2","0","1996-11-26","1996-11-05","3","26.78","Simons bistro","Vinbæltet 34","Kobenhavn","","1734","Denmark","33","8","2","0"
"10378","Folk och fä HB","FOLKO","Steven Buchanan","5","Flotemysost","71","6","17.2","0","1997-01-07","1996-12-19","3","5.44","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Sweden","71","6","17.2","0"
"11077","Rattlesnake Canyon Grocery","RATTC","Nancy Davolio","1","Spegesild","46","3","12","0.02","1998-06-03","","2","8.53","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","46","3","12","0.02"
"11077","Rattlesnake Canyon Grocery","RATTC","Nancy Davolio","1","Filo Mix","52","2","7","0","1998-06-03","","2","8.53","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","52","2","7","0"
"11077","Rattlesnake Canyon Grocery","RATTC","Nancy Davolio","1","Pâté chinois","55","2","24","0","1998-06-03","","2","8.53","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","55","2","24","0"
"10326","Bólido Comidas preparadas","BOLID","Margaret Peacock","4","Chef Anton's Cajun Seasoning","4","24","17.6","0","1996-11-07","1996-10-14","2","77.92","Bólido Comidas preparadas","C/ Araquil, 67","Madrid","","28023","Spain","4","24","17.6","0"
"10326","Bólido Comidas preparadas","BOLID","Margaret Peacock","4","Ravioli Angelo","57","16","15.6","0","1996-11-07","1996-10-14","2","77.92","Bólido Comidas preparadas","C/ Araquil, 67","Madrid","","28023","Spain","57","16","15.6","0"
"10326","Bólido Comidas preparadas","BOLID","Margaret Peacock","4","Rhönbräu Klosterbier","75","50","6.2","0","1996-11-07","1996-10-14","2","77.92","Bólido Comidas preparadas","C/ Araquil, 67","Madrid","","28023","Spain","75","50","6.2","0"
"10284","Lehmanns Marktstand","LEHMS","Margaret Peacock","4","Laughing Lumberjack Lager","67","5","11.2","0.25","1996-09-16","1996-08-27","1","76.56","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Germany","67","5","11.2","0.25"
